customer_id,first_name,last_name,segment,home_branch_bsb,credit_band
CUS496582423,Hudson,Kelly,Self-Employed,082-451,Good
CUS449993433,Hudson,Taylor,PAYG,032-520,Poor
CUS004460901,Thomas,Jones,Owner-Occupier,034-829,Excellent
CUS835775355,William,Jones,Owner-Occupier,084-670,Good
CUS937646252,Ruby,Walker,First-Home Buyer,034-829,Fair
CUS659175181,Liam,White,PAYG,084-670,Good
CUS401439147,Lachlan,Kelly,Investor,086-756,Fair
CUS555157994,Mia,Ryan,First-Home Buyer,086-756,Good
CUS683155056,Noah,Chen,First-Home Buyer,012-239,Good
CUS829922174,Isla,Martin,Owner-Occupier,034-829,Fair
CUS940619848,Oliver,Lee,PAYG,013-628,Excellent
CUS510216337,Hudson,Walker,SME,012-239,Fair
CUS555277819,Grace,Singh,Owner-Occupier,012-239,Poor
CUS178085016,William,Tran,PAYG,034-829,Poor
CUS625366844,Charlotte,White,First-Home Buyer,013-628,Poor
CUS422070970,Noah,Wilson,First-Home Buyer,016-609,Good
CUS939798372,Cooper,Wilson,First-Home Buyer,033-954,Fair
CUS476581736,William,Patel,Self-Employed,065-638,Excellent
CUS030757369,Grace,Wilson,First-Home Buyer,064-310,Fair
CUS482948802,Olivia,Nguyen,Investor,064-310,Good
CUS215498177,Liam,Anderson,Self-Employed,037-060,Excellent
CUS036317308,Chloe,Wilson,First-Home Buyer,018-614,Good
CUS461847151,Amelia,Patel,PAYG,084-670,Fair
CUS170673491,Jack,Taylor,Self-Employed,064-310,Good
CUS468456814,Cooper,Williams,First-Home Buyer,037-060,Excellent
CUS497576112,William,Wilson,Investor,016-609,Good
CUS607911302,Grace,O'Brien,Owner-Occupier,018-614,Poor
CUS682326756,Cooper,Kumar,PAYG,018-614,Good
CUS398045354,Amelia,Anderson,SME,016-609,Fair
CUS854192484,Ava,Kumar,Self-Employed,064-310,Good
CUS938390312,Liam,O'Brien,PAYG,018-614,Excellent
CUS515471723,Zoe,Anderson,Self-Employed,083-823,Poor
CUS842592104,Ava,Tran,Self-Employed,082-451,Fair
CUS229817062,Willow,Brown,First-Home Buyer,012-239,Fair
CUS990236702,Amelia,Chen,SME,034-829,Good
CUS582439500,William,Patel,SME,013-628,Fair
CUS756996477,Grace,O'Brien,Owner-Occupier,013-628,Fair
CUS858866050,Ruby,O'Brien,PAYG,012-239,Good
CUS954913173,Cooper,Smith,SME,013-628,Good
CUS838463158,Olivia,Tran,PAYG,062-004,Good
CUS911182189,Jack,Kelly,Investor,037-060,Poor
CUS052177862,Liam,Tran,Owner-Occupier,037-060,Good
CUS075457273,Charlotte,Taylor,First-Home Buyer,082-451,Excellent
CUS702838330,Mia,Walker,First-Home Buyer,062-004,Fair
CUS257612341,Noah,Lee,Investor,086-756,Fair
CUS844581983,Olivia,Tran,First-Home Buyer,064-310,Poor
CUS171781800,Mia,Anderson,First-Home Buyer,062-004,Good
CUS912433248,William,Smith,Self-Employed,084-670,Excellent
CUS960702185,Chloe,Smith,Self-Employed,037-060,Good
CUS888292196,Ethan,Anderson,First-Home Buyer,086-756,Excellent
CUS478399740,Charlotte,Chen,SME,034-829,Excellent
CUS529097687,Jack,Jones,Owner-Occupier,034-829,Fair
CUS989392046,Lachlan,Kumar,PAYG,065-638,Excellent
CUS971826432,Willow,Kumar,SME,032-520,Good
CUS567530279,William,Ryan,Self-Employed,032-520,Poor
CUS036821684,Oliver,Smith,PAYG,086-756,Good
CUS441836713,Lachlan,Kumar,Investor,032-520,Good
CUS269059927,Noah,Patel,SME,032-520,Fair
CUS365328273,Ruby,Ryan,First-Home Buyer,033-954,Good
CUS772738661,Thomas,Singh,First-Home Buyer,062-463,Excellent
CUS824869341,William,Singh,Investor,086-756,Good
CUS105671654,Hudson,Smith,First-Home Buyer,012-239,Fair
CUS937032892,Mia,O'Brien,SME,033-954,Excellent
CUS828845762,Thomas,Anderson,PAYG,084-670,Fair
CUS626853145,Noah,Brown,Owner-Occupier,062-463,Good
CUS790413851,Ava,Tran,PAYG,065-638,Poor
CUS161670765,Thomas,Tran,Investor,012-239,Good
CUS372538156,Chloe,Chen,First-Home Buyer,037-060,Fair
CUS061516406,Liam,Kelly,SME,018-614,Good
CUS410055594,Willow,Wilson,PAYG,033-954,Good
CUS695509310,Grace,Kumar,SME,083-823,Good
CUS417766028,Chloe,Singh,SME,062-463,Good
CUS293434338,Zoe,Patel,Owner-Occupier,086-756,Excellent
CUS878198545,Jack,Walker,PAYG,016-609,Excellent
CUS623225979,Grace,Kelly,First-Home Buyer,033-954,Good
CUS335528211,Mia,Williams,SME,033-954,Fair
CUS029670546,Cooper,Lee,PAYG,065-638,Good
CUS552539296,William,Kumar,PAYG,065-638,Good
CUS223694320,William,Lee,PAYG,065-638,Good
CUS646620210,Ava,Anderson,Owner-Occupier,012-239,Excellent
CUS508725147,Henry,Kelly,Investor,012-239,Fair
CUS962963842,Amelia,Anderson,First-Home Buyer,033-954,Good
CUS612504992,Cooper,Lee,First-Home Buyer,086-756,Good
CUS173584802,Mia,Jones,Owner-Occupier,034-829,Excellent
CUS572367065,Cooper,Anderson,Owner-Occupier,016-609,Fair
CUS899443437,Charlotte,Wilson,Owner-Occupier,034-829,Good
CUS811450841,Jack,Taylor,Owner-Occupier,082-451,Good
CUS084376481,Chloe,Patel,PAYG,062-004,Poor
CUS490092356,Hudson,Lee,First-Home Buyer,084-670,Fair
CUS544159145,Olivia,Taylor,Owner-Occupier,064-310,Excellent
CUS843251225,Grace,Nguyen,Owner-Occupier,012-239,Good
CUS806158302,Liam,Williams,Self-Employed,018-614,Good
CUS673762416,Lachlan,Wilson,First-Home Buyer,062-463,Poor
CUS260399576,Liam,Williams,Owner-Occupier,084-670,Good
